书号_x0000__x0000_,商品名称_x0000__x0000__x0000__x0000_,定价名称,总订数称_x0000__x0000_,码洋数称,出版社称_x0000__x0000_,编码社称
9787500798934,笨狼来了--全国优秀儿童文学奖作品精粹0响一生的世界名人美绘版]_x0000__x0000__x0000__x0000_,13.00,1,13,中国少年0-全国,75007989300013000000
9787500799634,少年特种兵X从头再来634300000,18.00,1,18,中国少年0X从头,75007996300018000000
9787500789703,玩具店的夜(拼音美绘版)--孙幼军童话精选一生的世界名人美绘版]_x0000__x0000__x0000__x0000__x0000__x0000_,28.00,1,28,中国少年0(拼音,75007897000028000000
9787500797524,动物SOS--奇趣动物丛书8000000选,23.00,1,23,中国少年0--奇,75007975200023000000
9787500794424,从课堂到奥数--初中数学培优竞赛讲座八年级一生的世界名人美绘版]_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_,20.00,1,20,中国少年0数--,75007944200020000000
9787514803112,吹牛大王历险记(全译本)--世界儿童文学传世经典世界名人美绘版]_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_,13.00,1,13,少年儿童0险记(,75148031100013000000
9787514806311,花季飞扬--儿童文学我们的100个故事丛书世经典世界名人美绘版]_x0000__x0000__x0000__x0000__x0000_,17.00,1,17,少年儿童0-儿童,75148063100017000000
9787500777885,爱丽斯漫游奇境全译本--世界畅销儿童文学名著经典世界名人美绘版]_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_,18.00,1,18,中国少年0奇境全,75007778800018000000
9787514802702,小狼请客--怪老头儿的动物园000000名著经典世界,10.00,1,10,少年儿童0-怪老,75148027000010000000
9787500789826,亲亲e家人--小鬼喜当家系列000000名著经典世,13.80,1,13.8,中国少年0--小,75007898200013800000
9787514805246,世界航海的先驱郑和--成长必读影响一生的世界名人世界名人美绘版]_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_,15.00,1,15,少年儿童0先驱郑,75148052400015000000
9787514807417,儿童文学金牌作家书系--尖叫的海棠000世界名人世界名人美绘版],23.00,1,23,少年儿童0牌作家,75148074100023000000
9787500787198,家有儿女系列3--我的父母我做主0000世界名人世界名人美,10.00,1,10,中国少年0列3-,75007871900010000000
9787514801347,张牧笛作品精选儿童文学十大青年金作家丛书世界名人世界名人美绘版]_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_,20.00,1,20,少年儿童0精选儿,75148013400020000000
9787500791027,中国人物故事全书(美绘版)--诗仙诗圣0世界名人世界名人美绘版]_x0000__x0000_,24.50,1,24.5,中国少年0事全书,75007910200024500000
9787500787877,家有儿女系列8--减肥记74500000世,10.00,1,10,中国少年0列8-,75007878700010000000
9787500781936,淘气包埃米尔(美绘版)360000000,23.80,1,23.8,中国少年0尔(美,75007819300023800000
9787514801507,七个人的偶遇--儿童文学金牌作家书系00世界名人世界名人美绘版]_x0000__x0000_,19.00,1,19,少年儿童0遇--,75148015000019000000
9787500782445,爸爸的办公室--小淘气尼古拉绝版故事40世界名人世界名人美绘版]_x0000__x0000__x0000_,9.00,1,9,中国少年公室--,75007824400009000000
9787514801545,小红帽3D世界经典童话459000000,10.00,1,10,少年儿童0世界经,75148015400010000000
9787500795575,2008年全国优秀儿童文学精选集美绘版--童话散文卷名人美绘版]_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_,28.00,1,28,中国少年0全国优,75007955700028000000
9787500794707,神秘的流星--丁丁历险记.埃及热0000-童话散文卷名人美,20.00,1,20,中国少年0--丁,75007947000020000000
9787500786115,小勋爵--世界畅销儿童文学名著全译本00-童话散文卷名人美绘版]_x0000__x0000_,14.00,1,14,中国少年0世界畅,75007861100014000000
